question_no,question,0,1,2,3,answer,category
393,यूनाइटेड किंगडम (United Kingdom- UK) में शामिल हैं -, इंगलैण्ड तथा उतरी आयरलैण्ड, उतरी आयरलैण्ड तथा वेल्स, स्कॉटलैण्ड तथा वेल्स, (A) और (D),3,General
394,आगरा शहर को किसने बसाया ?, सिकन्द लोदी, अकबर, बहलोल लोदी, शाहजहाँ,0,General
395,राष्ट्रिय प्रतीक के निचले भाग में उत्क्रीर्णित शब्द 'सत्यमेव जयते' किस सन्दर्भ से लिए गए हैं ?, पुराण, जातक, मुदकोपनिषद्, महाभारत,2,General
396,अशोक के शिलालेखों की लिपि क्या है ?, गुरुमुखी, ब्राह्यी, देवनागरी, हयरोग्लाइफिक्स,1,General
397,बिहू निम्नलिखित में से किसका लोकप्रिय उत्सव है ?, असम, उड़ीसा, बिहार, बंगाल,0,General
398,विवेकानन्द रॉक मेमोरियल कहाँ स्थित है ?, अण्डमान निकोबार, लक्षद्वीप, केरल, तमिलनाडु,3,General
399,महात्मा गांधी को राष्ट्रपिता के रूप में उल्लेख सबसे पहले किसने किया था ?, सुभाषचन्द्र बोस, जवाहरलाल नेहरू, बल्ल्भभाई पटेल सी, इनमें से कोई नहीं,0,General
400,प्रथम गोलमेज सम्मेलन कहाँ हुआ था ?, नई दिल्ली में, लन्दन में, बम्बई में, इनमें से कोई नहीं,1,General
401,देश का लोह पुरुष किसे कहा जाता है ?, सरदार पटेल, पं. जवाहरलाल नेहरू, महात्मा गांधी, लोकमान्य तिलक,0,General
402,महात्मा गांधीजी को 'अधनंगा फकीर' किसने कहा ?, हिटलर, जिन्ना, चर्चिल, माउण्टबेटन,2,General
403,महात्मा गांधी निम्नलिखित में से किनसे अधिक प्रभावित थे ?, बर्नार्ड शा, लिओ टॉलस्टॉय, कार्ल मार्क्स, इनमें से कोई नहीं,1,General
404,महात्मा गांधी का जन्म हुआ था ?,1859,1869,1879,1889,1,General
405,पंजाब केसरी के नाम से विख्यात थे ?, रजनीत सिंह, गुरु गोविन्द सिंह, गुरु नानक, लाला राजपत राय,3,General
406,निम्नलिखित में से कौन सी गंगा की सहायक नदी नहीं है ?, सुवर्ण रेखा, सोन, गण्डक, कोसी,0,General
407,किस राज्य की सीमा चीन से जुड़ी हुई है ?, मणिपुर, नगालैण्ड, असम, अरुणाचल प्रदेश,3,General
408,कितने वर्ष के पश्चात राष्ट्रीय जनगणना होती है ?, दस, पाँच, तीन, पच्चीस,0,General
409,काजीरंगा राष्ट्रीय पार्क है ?, उड़ीसा में, महाराष्ट्र में, असम में, इनमें से कोई नहीं,2,General
410,ऑपरेशन फ्लड से सम्बन्धित है ?, तमिलनाडु, बाढ़ नियन्त्रण, दूध का आयात, डेयरी विकास,3,General
411,धान की खेती के लिए उत्तम मिट्टी कौन सी है ?, सख्त मिट्टी, काली मिट्टी, दोमट मिट्टी, लाल मिट्टी,2,General
412,कौन से भारतीय शहर हेवी इलेक्ट्रिकल्स से सम्बन्दित है ?, नागपुर, रायपुर, भोपाल, लखनऊ,2,General
413,"भारत में हरित क्रान्ति का श्रेय जिस सुविख्यात कृषि औद्योगिकीविज्ञ को जाता है, उसका नाम है ?", आर. वेंकटमन, सीताकान्त महापात्र, डॉ. वर्गीस कुरियन, जयन्त नार्लिकर,2,General
414,राणा प्रताप सागर सम्बन्धित है ?, सौर ऊर्जा से, सिंचाई से, नाभिकीय ऊर्जा से, जल विद्युत से,3,General
415,पृथ्वी और सूर्य के बीच अधिकतम दूरी किस तिथि को होती है ?, 22 जुलाई 1947 को, 30 जनवरी, 4 जुलाई, 21 सितम्बर,2,General
416,भारत के राजचिन्ह में प्रयुक्त होनेवाले शब्द ' सत्यमेव जयते ' किस उपनिषद् से लिए गए हैं ?, ईश उपनिषद्, मुण्डक उपनिषद्, कठ उपनिषद्, इनमें से कोई नहीं,1,General
417,गायत्री मंत्र किस पुस्तक से लिया गया है ?, ऋग्वेद, सामवेद, यजुर्वेद, अथर्ववेद,0,General
418,हिन्दी किस लिपि में लिखी जाती है ?, पर्शियन, रोमन, देवनागरी, पाली,2,General
419,ब्राह्यी लिपि को किसने स्पष्ट किया ?, जेम्स प्रिन्सेप, जॉन मार्शल, जॉन एक फ्लीट, इनमें से कोई नहीं,0,General
420,राष्ट्रीय विज्ञान दिवस किस दिन मनाया जाता है ?, 21 जनवरी, 21 मार्च, 28 फरवरी, 23 मार्च,2,General
421,राष्ट्रीय खेल दिवस' किस दिन मनाया जाता है ?, 29 मार्च, 29 अगस्त, 20 सितम्बर, 2 दिसम्बर,1,General
422,कम्प्यूटर साक्षरता दिवस' किस दिन मनाया जाता है ?, 12 अगस्त, 13 सितम्बर, 2 दिसम्बर, इनमें से कोई नहीं,2,General
423,केन्द्रीय उत्पाद शुल्क दिवस' किस दिन मनाया जाता है ?, 14 फरवरी, 24 फरवरी, 18 फरवरी, 21 फरवरी,1,General
424,हिन्दी दिवस' किस दिन मनाया जाता है ?, 26 अगस्त, 15 फरवरी, 14 सितम्बर, 18 दिसम्बर,2,General
425,शिक्षक दिवस' किस दिन मनाया जाता है ?, 16 मार्च, 9 अगस्त, 5 सितम्बर, इनमें से कोई नहीं,2,General
426,किसान दिवस' किस दिन मनाया जाता है ?, 23 दिसम्बर, 28 फरवरी, 14 मार्च, 5 अगस्त,0,General
427,चिकित्सक दिवस' किस दिन मनाया जाता है ?, 1 अप्रैल, 1 मई, 1 जुलाई, 1 जून,2,General
428,नौसेना दिवस' किस दिन मनाया जाता है ?, 7 अगस्त, 16 सितम्बर, 4 दिसम्बर, 8 फरवरी,2,General
429,राष्ट्रीय एकता दिवस' किस दिन मनाया जाता है ?, 2 जून, 14 जुलाई, 2 अक्टूबर, 19 नवम्बर,3,General
430,राष्ट्रीय प्रौद्योगिकी दिवस' किस दिन मनाया जाता है ?, 11 मई, 11 फरवरी, 11 अप्रैल, 11 जुलाई,0,General
431,सेना दिवस' किस दिन मनाया जाता है ?, 4 सितम्बर, 7 दिसम्बर, 26 फरवरी, 15 जनवरी,3,General
432,राष्ट्रीय विधि दिवस' किस दिन मनाया जाता है ?, 26 अक्टूबर, 26 नवम्बर, 26 दिसम्बर, इनमें से कोई नहीं,1,General
433,मलेरिया दिवस' किस दिन मनाया जाता है ?, 14 फरवरी, 21 मार्च, 25 अगस्त, 17 सितम्बर,2,General
434,शहीद दिवस' किस दिन मनाया जाता है ?, 30 जनवरी, 13 फरवरी, 15 मार्च, 22 अगस्त,0,General
435,संचयिका दिवस' किस दिन मनाया जाता है ?, 11 अगस्त, 15 सितम्बर, 12 दिसम्बर, 8 फरवरी,1,General
436,सामाजिक अधिकारिता स्मृति दिवस' किस दिन मनाया जाता है ?, 29 जनवरी, 18 फरवरी, 21 अगस्त, 20 मार्च,3,General
437,आतंकवाद विरोध दिवस' किस दिन मनाया जाता है ?, 12 मई, 24 मई, 21 मई, 28 मई,2,General
438,सशस्त्र सेना झंडा दिवस' किस दिन मनाया जाता है ?, 7 सितम्बर, 7 दिसम्बर, 7 फरवरी, 7 अप्रैल,1,General
439,पुलिस स्मृति दिवस' किस दिन मनाया जाता है ?, 8 अक्टूबर, 15 अक्टूबर, 19 अक्टूबर, 21 अक्टूबर,3,General
440,31 मई किस रूप में मनाया जाता है ?, फादर्स डे, एण्टीटुबैको डे, टीचर्स डे, मदर्स डे,1,General
441,21 जनवरी को निम्नलिखित में से किसका जन्म दिवस मनाया जाता है ?, सुभाषचन्द्र बोस, गुरु गोविन्द सिंह, रवीन्द्रनाथ टैगोर, चन्द्रशेखर आजाद,1,General
442,प्रतिवर्ष किसकी स्मृति में 13 फरवरी को महिला दिवस मनाया जाता है ?, इन्दिरा गाँधी की, लक्ष्मीबाई की, सरोजिनी नायडू की, कमल नेहरू की,2,General
443,5 सितम्बर किस रूप में मनाया जाता है ?, श्रमिक दिवस, महिला दिवस, बाल दिवस, शिक्षक दिवस,3,General
444,राजीव गाँधी का जन्म दिवस 20 अगस्त किस रूप में मनाया जाता है ?, संकल्प दिवस, राष्ट्रीय एकता दिवस, आतंकवाद विरोध दिवस, राष्ट्रीय सद्भावना दिवस,3,General
445,बाल दिवस' कब मनाया जाता है ?, 14 जुलाई, 14 अक्टूबर, 14 नवम्बर, इनमें से कोई नहीं,2,General
446,प्रवासी भारतीय दिवस' कब मनाया जाता है ?, 9 जनवरी, 1 फरवरी, 12 मार्च, 15 अगस्त,0,General
447,राष्ट्रीय युवा दिवस' कब मनाया जाता है ?, 21 जनवरी, 13 जनवरी, 12 जनवरी, 15 जनवरी,2,General
448,राष्ट्रीय पक्षी दिवस' कब मनाया जाता है ?, 12 अक्टूबर, 12 नवम्बर, 18 दिसम्बर, इनमें से कोई नहीं,1,General
449,बाल दिवस' किस महापुरुष की जयंती के रूप में मनाया जाता है ?, महात्मा गाँधी, सुभाष चन्द्र बोस, लाल बहादुर शास्त्री, पंडित जवाहरलाल नेहरू,3,General
450,देश के प्रथम उपराष्ट्रपति सर्वपल्ली राधाकृष्णन का जन्म दिवस किस रूप में मनाया जाता है ?, शिक्षक दिवस, बाल दिवस, विधि दिवस, डॉक्टर दिवस,0,General
451,बीटिंग द रीट्रिट का सम्बन्ध किससे है ?, मजदूर दिवस, गणतंत्र दिवस, महिला दिवस, शहीद दिवस,1,General
452,निम्नलिखित में से किसका जन्म दिवस 'डॉक्टर्र दिवस' के रूप में मनाया जाता है ?, डॉ. विधानचंद राय, डॉ. जाकिर हुसैन, डॉ. एस. राधाकृष्णन, इनमें से कोई नहीं,0,General
453,किस महापुरुष की जयंती राष्ट्रीय युवा दिवस के रूप में मनाया जाता है ?, महात्मा गाँधी, सरदार भगत सिंह, चन्द्रशेखर आजाद, स्वामी विवेकानन्द,3,General
454,किस भारतीय हॉकी खिलाड़ी का जन्म दिवस 'राष्ट्रीय खेल दिवस' के रूप में मनाया जाता है ?, रूप सिंह, जयपाल, मेजर ध्यानचंद, इनमें से कोई नहीं,2,General
455,विश्व में डाकघरों का सबसे बड़ा जाल किस देश में पाया जाता है ?, चीन, सं. रा. अ., भारत, इण्डोनेशिया,2,General
456,भारत में डाकघरों की संख्या लगभग है ?, 1.2 लाख, 1.5 लाख, 1.7 लाख, 1.9 लाख,1,General
457,ग्रीन चैनल है एक ?, डाक सेवा, आकाशवाणी चैनल, दूरदर्शन चैनल, टेलीफोन सेवा,0,General
458,भारत में डाक सूचकांक प्रणाली की शुरुआत किस वर्ष हुई ?, 1952 ई., 1998 में, 1972 में, 1970 में,2,General
459,भारत को कितने डाक जोन में विभाजित किया गया है ?,2,6,8,10,2,General
460,प्रसिद्ध विरुपाक्ष मंदिर कहाँ अवस्थित है ?, भद्राचलम, चिदम्बरम, हम्पी, इनमें से कोई नहीं,2,General
461,"हिन्द भारत की जनता के संदर्भ में ""हिन्दू"" शब्द का प्रथम बार प्रयोग किया था ?", अरबों ने, यूनानियों ने, रोमवासियों ने, चीनियों ने,0,General
462,मोहनजोदड़ों कहाँ स्थित है ?, सिंध, गुजरात, उत्तर प्रदेश, पंजाब,0,General
463,महात्मा गाँधी ने सत्याग्रह क्रियाविधि सबसे पहले कहाँ प्रस्तुत की ?, दाण्डी, अहमदाबाद, खेड़ा, चम्पारण,3,General
464,बैंकिंग के क्षेत्र में CBS में C का पूर्ण रूप क्या है ?, कोर, कॉन्टीनेंट, कम्पलीट, क्रेडिट,0,General
465,CAD का पूर्ण रूप क्या है ?, Cash All Daily, Computer All Design, Computer Aided Design, Call All Design,2,General
466,OMR का पूर्ण रूप क्या है ?, On Money Reader, Optical Mark Reader, On Mark Reader, इनमें से कोई नहीं,1,General
467,SEZ का पूर्ण रूप क्या है ?, Special Economic Zone, Small Economic Zone, Service Economic Zone, इनमें से कोई नहीं,0,General
468,WLL का अर्थ है ?, विदाउट लीवर लाइन, वायरलेस इन लोकल लूप, वायरलेस इन लूप लाइन, विदिन लोकल लाइन,1,General
469,जय हिन्द' का नारा किसने दिया ?, सुभाष चन्द्र बोस ने, महात्मा गाँधी ने, मोती लाल नेहरू ने, इनमें से कोई नहीं,0,General
470,"किसने कहा था, 'तुम मुझे खून दो, मैं तुम्हें आजादी दूंगा' ?", भगत सिंह, चन्द्रशेखर आजाद, अरविंद घोष, सुभाष चन्द्र बोस,3,General
471,देशबंधु की उपाधि संबंधित है ?, बी. आर. अम्बेडकर, बिपिन चन्द्र पाल, रवीन्द्रनाथ टैगोर, चित्तरंजन दास,3,General
472,सुभाष चन्द्र बोस ने सिंगापुर में दिल्ली चलो का नारा दिया ?, 1942 में, 1943 में, 1944 में, 1945 में,1,General
473,गाँधी-इरविन समझौता किससे संबंधित है ?, सविनय अवज्ञा आंदोलन, असहयोग-खिलाफत आंदोलन, रॉलेट आंदोलन, भारत छोड़ो आंदोलन,0,General
474,महात्मा गाँधी को सर्वप्रथम राष्ट्रपिता किसने कहा ?, वल्लभ भाई पटेल, जे. एल. नेहरू, सुभाष चन्द्र बोस, चन्द्रशेखर आजाद,2,General
475,कायदे आजाद किसे कहा जाता है ?, मोहम्मद अली जिन्ना, जवाहरलाल नेहरू, भगत सिंह, महात्मा गाँधी,0,General
476,चौरी-चौरा नाम प्रसिद्ध स्थल कहाँ है ?, गोरखपुर, आगरा, इलाहबाद, लखनऊ,0,General
477,"किसने कहा ' मध्य रात्रि के टकोर पर, जब संसार सोता है भारत अपने जीवन व स्वतंत्रता के लिए जाग उठेगा ?", जवाहरलाल नेहरू, महात्मा गाँधी, भगत सिंह, राजेन्द्र प्रसाद,0,General
478,Who lives if India dies' किसकी उक्ति है ?, जवाहरलाल नेहरू, महात्मा गाँधी, भगत सिंह, इनमें से कोई नहीं,0,General
479,पंजाबी भाषा किस लिपि में लिखी जाती है ?, देवनागरी, सिन्धी, गुरुमुखी, इनमें से कोई नहीं,2,General
480,किस लिपि को सभी लिपियों का जन्म दाता कहा जाता है ?, खरोष्ठी, ब्राह्मी, मोडी, नागरी,1,General
481,किस काल की लिपि को चित्राकार लिपि कहा जाता है ?, सिन्धु काल, वैदिक काल, गुप्त काल, मौर्य काल,0,General
482,जैन सूत्र में कितनी लिपियों का उल्लेख है ?,8,12,18,21,2,General
483,बौद्ध ग्रन्थ 'ललित विस्तार' में कितनी लिपियों का उल्लेख है ?,19,27,64,89,3,General
484,अशोक के शिलालेखों की क्या लिपि है ?, देवनागरी, गुरुमुखी, खरोष्ठी, ब्राह्मी,3,General
485,भारत की तीसरी सर्वाधिक बोली जाने वाली भाषा है ?, तेलुगू, बांग्ला, मराठी, तमिल,0,General
486,चोल शासकों की भाषा क्या थी ?, तमिल, संस्कृत, कन्नड़, तेलुगू,0,General
487,हिन्दी भाषा भारतीयों का प्रतिशत लगभग कितना है ?, 50 %, 40 %, 45 %, 55 %,1,General
488,भारतीय भाषाओं में हिन्दी के बाद विश्व की कौन-सी भाषा अधिकतम बोली जाती है ?, मलयालम, तमिल, तेलुगू, बांग्ला,3,General
489,गोवा की स्वीकृत राजभाषा है ?, कोंकणी, गुजराती, मराठी, पुर्तगाली,0,General
490,कौन-सी भाषा देवभाषा है ?, हिन्दी, खड़ी भाषा, संस्कृत, पाली,2,General
491,भारत का प्राचीन भाषा है ?, संस्कृत, हिन्दी, पाली, प्राकृत,0,General
492,निम्नलिखित में से किस देश में अधिकतम संख्या में भाषाएँ बोली जाती हैं ?, ब्रिटेन, यू. एस. ए, फ्रांस, भारत,3,General
493,केन्द्रीय भारतीय भाषा संस्थान कहाँ स्थित है ?, मैसूर, हैदराबाद, वाराणसी, उज्जैन,0,General
494,राष्ट्रीय साक्षरता मिशन की शुरुआत कब हुई ?, 1900 ई., 1988 ई., 1999 ई., इनमें से कोई नहीं,1,General
495,राष्ट्रीय साक्षरता मिशन की शुरुआत कब हुई ?, 1900 ई., 1988 ई., 1999 ई., इनमें से कोई नहीं,1,General
496,नवोदय विद्यालय में दाखिला किस कक्षा में होता है ?, पहली, सातवीं, छठी, चौथी,2,General
497,मुक्त विश्वविद्यालय की स्थापना सर्वप्रथम कहाँ हुई ?, जर्मनी, भारत, इंग्लैंड, इनमें से कोई नहीं,2,General
498,इन्दिरा गाँधी राष्ट्रीय मुक्त विश्वविद्यालय की स्थापना कब हुई ?, 1982 ई., 1985 ई., 1987 ई., 1989 ई.,1,General
499,इन्दिरा गाँधी राष्ट्रीय मुक्त विश्वविद्यालय का मुख्यालय कहाँ है ?, नई दिल्ली, मुम्बई, इलाहाबाद, कोलकाता,0,General
500,केन्द्रीय अंग्रेजी एवं विदेशी भाषा संस्थान कहाँ है ?, हैदराबाद, मुम्बई, बंगलौर, नई दिल्ली,0,General
501,भारतीय पशु चिकित्सा अनुसन्धान संस्थान कहाँ स्थित है ?, पंतनगर, देहरादून, लखनऊ, इज्जतनगर,3,General
502,भारतीय खनन विद्यालय कहाँ स्थित है ?, राँची, धनबाद, जमशेदपुर, इनमें से कोई नहीं,1,General
503,फोर्ट विलियम कॉलेज कहाँ है ?, आगरा, नई दिल्ली, मुम्बई, कोलकाता,3,General
504,विश्वभारती विश्वविद्यालय की स्थापना किसने की थी ?, रवीन्द्रनाथ टैगोर, राजा राममोहन राय, बंकिम चन्द्र चटर्जी, इनमें से कोई नहीं,0,General
505,शिक्षा में सुधार हेतु ब्रिटिश सरकार ने सैडलर आयोग कब नियुक्त किया ?, 1911 में, 1917 में, 1920 में, 1922 में,1,General
506,मुगल काल में किस भाषा को रेख्तां कहा गया है ?, उर्दू, अरबी, तुर्की, फारसी,0,General
507,भारत की किस भाषा को ' इटालियन ऑफ द ईस्ट' कहा जाता है ?, तमिल, मलयालम, तेलुगू, बांग्ला,2,General
508,देश के एकमात्र किस राज्य की राजभाषा अंग्रेजी है ?, नगालैंड, सिक्किम, मणिपुर, मिजोरम,0,General
509,निम्नलिखित देशों में से किसमें तमिल एक प्रमुख भाषा है ?, म्यानमार, मौरीशस, सिंगापुर, इण्डोनेशिया,2,General
510,आमिर खुसरो ने किसके विकास में अग्रणी भूमिका निभाई ?, अवधी, भोजपुरी, ब्रज भाषा, खड़ी बोली,3,General
511,त्रिपुरा की राजभाषा है ?, हिन्दी, बांग्ला, मलयालम, नागा,1,General
512,निम्नलिखित में से कौन-से राज्य ने उर्दू को अपनी सरकारी भाषा के रूप में स्वीकृति प्रदान की है ?, राजस्थान, जम्मू-कश्मीर, आन्ध्र प्रदेश, मध्य प्रदेश,1,General
513,दूरदर्शन की प्रथम समाचार वाचिका कौन थी ?, शोभना जगदीश, अविनाश कौर सरीन, प्रतिमा पुरी, सलमा सुल्तान,2,General
514,दूरदर्शन का दैनिक राष्ट्रीय कार्यक्रम किस वर्ष आरंभ किया गया ?, 1980 ई., 1972 ई., 1975 ई., 1981 ई.,1,General
515,सबसे अधिक डाकघर किस देश में है ?, भारत, फ्रांस, जापान, चीन,0,General
516,"यदि पोस्टल इंडेक्स नम्बर ६ से शुरू हो, तो वह डाकघर संभवतः किस राज्य में स्थित होगा ?", महाराष्ट्र, कर्नाटक, केरल, इनमें से कोई नहीं,2,General
517,मुम्बई महानगर का STD कोड क्या है ?,11,22,33,44,1,General
518,निम्नलिखित में से किस भक्ति संत ने अपने संदेश के प्रचार के लिए सबसे पहले हिन्दी का प्रयोग किया ?, दादू, तुलसीदास, रामानंद, कबीर,2,General
519,भारत में मनीऑर्डर प्रणाली का प्रारम्भ हुआ ?, 1880 ई., 1882 ई., 1884 ई., 1907 ई.,0,General
520,भारत में डाक टिकट कब जारी किया गया ?, 1859 ई., 1854 ई., 1882 ई., इनमें से कोई नहीं,1,General
521,इन्दिरा गाँधी राष्ट्रीय मानव संग्रहालय कहाँ है ?, भोपाल, गुवाहाटी, चेन्नई, बस्तर,0,General
522,भारतीय सर्वेक्षण विभाग का मुख्यालय कहाँ स्थित है ?, हैदराबाद, नई दिल्ली, चण्डीगढ़, देहरादून,3,General
523,राजस्थान स्थित जावर की खानें किस खनिज के लिए प्रसिद्ध है ?, जस्ता, ताँबा, लोहा, ये सभी,0,General
524,धार्मिक कविताओं का संकलन 'कुरल' किस भाषा में है ?, ग्रीक, पालि, तेलुगू, तमिल,3,General
525,विधायिका को किस प्रकार की सरकार में कार्यपालिका से अधिक प्राथमिकता मिलती है ?, संघीय सरकार, संसदीय सरकार, अधिकारवादी सरकार, राष्ट्रपति सरकार,1,General
526,अनवार-ए-सुहैली' ग्रंथ किसका अनुवाद है ?, पंचतंत्र, सूरसागर, रामायण, महाभारत,0,General
527,एलायंस एयर निम्नलिखित में से किसके पूर्ण स्वामित्व वाली कम्पनी है ?, इण्डियन एयरलाइन्स, सहारा एयरवेज, जेट एयरवेज, एयर इण्डिया,0,General
528,निजी क्षेत्र में देश का पहला अन्तर्राष्ट्रीय हवाई अड्डा कहाँ निर्माणाधीन है ?, कोच्चि, गुवाहाटी, मोपा, हैदराबाद,0,General
529,भारत की अन्तर्राष्ट्रीय विमान सेवा है ?, सहारा एयर, इण्डियन एयरलाइन्स, एयर इण्डिया, एलायंस एयर,2,General
530,ग्रांड ट्रंक रोड किसने बनबायी ?, अकबर, जहाँगीर, शाहजहाँ, शेरशाह,3,General
531,स्वर्णिम चतुर्भुज परियोजना किससे सम्बन्धित है ?, सड़क परिवहन, वायु परिवहन, जल परिवहन, रेल परिवहन,0,General
532,पूर्व - पश्चिम एवं उत्तर दक्षिण एक्सप्रेस राजमार्ग एक-दूसरे को काटते हैं ?, ग्वालियर, सागर, भोपाल, झांसी,3,General
533,राष्ट्रीय राजमार्ग संख्या - 7 कितने राज्यों से होकर गुजरती है ?,4,5,6,7,2,General
534,निम्नलिखित में से कौन ऊर्जा के गैर परम्परागत स्त्रोत की श्रेणी में आता है ?, कोयला, बायो गैस, प्राकृतिक गैस, पेट्रोलियम,1,General
535,निम्नलिखित में से कौन ऊर्जा का परम्परागत स्त्रोत नहीं है ?, प्राकृतिक गैस, खनिज तेल, भूतापीय ऊर्जा, कोयला,2,General
536,निम्नलिखित में से किस प्रकार की ऊर्जा से सबसे कम वायु प्रदूषण होता है ?, जलीय ऊर्जा, तापीय ऊर्जा, नाभिकीय ऊर्जा, सौर ऊर्जा,3,General
537,मूंगफली में दाने का औसत प्रतिशत होता है ?,50,65,70,85,2,General
538,निम्नलिखित किस बाघ संरक्षण स्थल से हाल ही में बाघों का गुप्त रूप से अदृश्य होने की खबर है ?, रणथम्भौर, भरतपुर, सरिस्का, सिमलीपाल,2,General
539,विश्व का सर्वोच्च पर्वत शिखर एवरेस्ट नेपाल में किस नाम से प्रसिद्ध है ?, त्रिकूट, धवलगिरि, गौरीशंकर, सागरनाथ,0,General
540,नेपाल की राजधानी काठमांडू किस नदी के तट पर अवस्थित है ?, कोसी नदी के, गोदावरी नदी के, बागमती नदी के, नारायणी नदी,2,General
541,देवदास बंजारे किस क्षेत्र से जुड़े थे ?, पण्डवानी, पंथी नृत्य, ढोकरा नृत्य, घनकुल,1,General
542,बेगम अख्तर का नाम किससे सम्बद्ध है ?, शास्त्रीय वादन संगीत, सूफी गजल, शास्त्रीय गजल व ठुमरी, शास्त्रीय नृत्य,2,General
543,निम्नलिखित में से कौन हिंदुस्तानी शास्त्रीय संगीत में सुविख्यात है ?, शोभना नारायण, पंडित युवराज, एम. एस. सुब्बलक्ष्मी, इनमें से कोई नहीं,2,General
544,हिंदुस्तानी संगीत का सर्वाधिक प्राचीन घराना है ?, ग्वालियर घराना, लखनऊ घराना, जयपुर घराना, आगरा घराना,0,General
545,हिन्दुस्तानी संगीत का घराना नहीं है ?, किराना घराना, ग्वालियर घराना, लखनऊ घराना, आगरा घराना,2,General
546,ध्रुपद गायकी के लिए प्रसिद्ध घराना है ?, मेवाती घराना, जयपुर घराना, किराना घराना, ग्वालियर घराना,3,General
547,पण्डित भीम सेन जोशी हैं ?, बांसुरी वादक, हिंदुस्तानी गायक, सितार वादक, ओडिसी नर्तक,1,General
548,गायक की ध्रुपद शैली का आरम्भ किसने किया ?, अमीर खुसरो, विष्णु दिगंबर पलुस्कर, तानसेन, मानसिंह तोमर,3,General
549,ऋतू वर्मा का संबंध है ?, शास्त्रीय गायन से, गजल संगीत से, पंडवाणी शैली से, कर्नाटक संगीत से,2,General
550,माइकल जैक्सन संबंधित हैं ?, बैले नृत्य से, पियानो वादन से, जॉज गायन से, पॉप संगीत से,3,General
551,भातखण्डे संगीत महाविद्यालय कहाँ स्थित है ?, चण्डीगढ़, इलाहाबाद, लखनऊ, अहमदाबाद,2,General
552,अमीर खुसरो का नाम किस वाद्ययंत्र के आविष्कार से संबंधित है ?, सितार, सरोद, शहनाई, तबला,0,General
553,निम्नलिखित में से कौन-से एक हिंदुस्तानी शास्त्रीय संगीत का गायक/गायिका है ?, गीता चंद्रन, स्वप्न सुंदरी, गगूबाई हंगला, लीला सैम्बन,2,General
554,जैमिनी राय ने कला के किस क्षेत्र में नाम कमाया ?, मूर्तिकला, नाट्यकला, चित्रकला, संगीत,2,General
555,पश्चिम बंगाल में फर्शों पर चित्रकारी का कौन-सा रूप प्रसिद्ध है ?, आइपना, कोल्लभ, रंगोली, अल्पना,3,General
556,प्रसिद्ध मीनाकारी थेवा कला का संबंध है ?, बीकानेर से, प्रतापगढ़ से, बाँसवाड़ा से, जयपुर से,1,General
