question_no,question,0,1,2,3,answer,category
239,विश्व का सबसे बड़ा डेल्टा ?, सुंदरबन का डेल्टा, नील नदी का डेल्टा, गंगा नदी का डेल्टा, अन्य,0,World GK
240,विश्व का सबसे बड़ा बांध ?, बौल्डर बांध, भाखड़ा बांध, भव्य बांध, अन्य,2,World GK
241,विश्व का सर्वाधिक मतदाताओं वाला देश कौन है ?, भारत, भूटान, बांग्लादेश, रूस,0,World GK
242,विश्व का सबसे बड़ा महाकाव्य है ?, रघुवंशम्, कुरूक्षेत्र, महाभारत, रामायण,2,World GK
243,विश्व में सबसे बड़ा द्वीप है ?, ग्रीनलैंड, आइसलैंड, जंबू द्वीप, अन्य,0,World GK
244,विश्व में सबसे बड़ा द्वीप समुद्र ?, गैलापागोस, भूमध्य सागर, टीथीज सागर, अन्य,1,World GK
245,विश्व की उच्चतम पर्वत चोटी है ?, माउंट एवरेस्ट, हिमालय, पारसनाथ, बेलुख़ा,0,World GK
246,विश्व में सबसे बड़ा महासागर कौन सा है ?, अटलांटिक महासागर, प्रशांत महासागर, हिन्द महासागर, दक्षिणध्रुवीय महासागर,1,World GK
247,विश्व में सबसे अधिक वितरण वाला अंग्रेजी अखबार कौन सा है ?, द न्यू यॉर्क टाइम्स, द गार्डियन, द टाइम्स ऑफ इंडिया, इंडिया एक्सप्रेस,2,World GK
248,विश्व में सबसे लम्बा रेलवे प्लेटफार्म कहाँ है ?, खड़गपुर, शोलापुर, गोरखपुर, जोधपुर,2,World GK
249,विश्व में सबसे बड़ा जनसंख्या वाला देश है ?, रूस, चीन, भारत, संयुक्त राज्य अमेरिका,1,World GK
250,विश्व में सबसे लम्बा नदी कौन सा है ?, नील नदी, नर्मदा नदी, गंगा नदी, ब्रह्मपुत्र नदी,0,World GK
251,विश्व का सबसे लंबी सुरंग ?, सीकन सुरंग, माउंट सेनिस सुरंग, नॉर्वे सुरंग, अन्य,2,World GK
252,विश्व का सबसे बड़ा दीवार ?, बर्लिन की दीवार, चीन की महान दीवार, चौखंडी स्तूप की दीवार, अन्य,1,World GK
253,विश्व का उच्चतम झरना ?, वेनेजुएला, टुगेला फॉल्स, युम्बिल्ला फॉल्स, थ्री सिस्टर्स फॉल्स,0,World GK
254,विश्व में सबसे बड़ा रेडियोदूरबीन ?, न्यू मैक्सिको, वृहत मीटरवेव, रेडियो दूरबीन, अन्य,0,World GK
255,विश्व का सबसे बड़ा पक्षी ?, सारस, शुतुरमुर्, मोर, हरियाल,1,World GK
256,विश्व का सबसे छोटी पक्षी ?, तोता, कबूतर, गुनगुना पक्षी, नीलकंठ पक्षी,2,World GK
257,विश्व स्वास्थ्य संगठन की महानिदेशक हैं ?, वंगारी मथाई, मारग्रेट चान, किरण बेदी, अरुण जेटली,1,World GK
258,वर्ल्ड रेडक्रॉस डे प्रतिवर्ष किस दिन मनाया जाता है ?, 16 मई, 11 मई, 8 मई, 5 मई,2,World GK
259,उस विश्व संस्था का नाम बताएं जो 1920 में स्थापित हुई और 1946 में भांग कर दी गई ?, क्रीमिया की सन्धि, लीग ऑफ नेशन्स, वारसा पैक्ट, यूरेशियन पैक्ट,1,World GK
260,प्रजातीय पक्षपात का निराकरण के लिए अन्तर्राष्ट्रीय दिन कब मनाया जाता है ?, 21 मार्च, 21 अप्रैल, 21 जून, 21 मई,0,World GK
261,विश्व खाद्य दिवस किस दिन मनाया जाता है ?, 15 अक्टूबर, 21 अक्टूबर, 23 अक्टूबर, 16 अक्टूबर,3,World GK
262,यूनेस्को ने किस मन्दिर को विश्व विरासत स्थल के रूप में घोषित किया ?, वरदराज, महाबोधि, काली घाट, चामुण्डेश्वरी,1,World GK
263,विश्व जल दिवस कब मनाया जाता है ?, 5 मार्च, 17 मार्च, 20 मार्च, 22 मार्च,3,World GK
264,अन्तर्राष्ट्रीय महिला दिवस कब मनाया जाता है ?, 8 अप्रैल, 8 मई, 8 मार्च, 8 जून,2,World GK
265,विश्व के किस महाद्वीप में जल-विद्युत् शक्ति की संभाव्यता सर्वाधिक है ?, अफ्रीका, यूरोप, एशिया, दक्षिण अमेरिका,0,World GK
266,विश्व में लिग्नाइट कोयला का सबसे बड़ा उत्पादक देश है ?, भारत, फ्रांस, चीन, जर्मनी,3,World GK
267,विश्व में कोयला का सबसे बड़ा उत्पादक देश है ?, बिटेन, भारत, जापान, चीन,3,World GK
268,विश्व में उत्पादित कुल कोयला का कितना प्रतिशत हिस्सा बिटुमिनस कोयला का होता है ?, 93 %, 97 %, 80 %, 75 %,2,World GK
269,विश्व का सबसे बड़ा कोबाल्ट उत्पादक देश है ?, कनाडा, जायरे, संयुक्त राज्य अमेरिका, इनमें से कोई नहीं,1,World GK
270,विश्व में निकेल का सबसे बड़ा निर्यातक देश है ?, संयुक्त राज्य अमेरिका, कनाडा, फ्रांस, चीन,1,World GK
271,संसार में ताबाँ का अग्रणी उत्पादक है ?, बिटेन, भारत, न्यूजीलैंड, अमेरिका,3,World GK
272,विश्व का सर्वाधिक स्वर्ण उत्पादक देश निम्नलिखित में से कौन-सा है ?, कनाडा, संयुक्त राज्य अमेरिका, इंग्लैंड, दक्षिण अफ्रीका,3,World GK
273,विश्व में चाँदी का सबसे बड़ा उत्पादक है ?, मैक्सिको, भारत, कनाडा, इनमें से कोई नहीं,0,World GK
274,विश्व का कौन-सा देश टिन का सर्वाधिक उत्पादन करता है ?, अमेरिका, थाईलैंड, इण्डोनेशिया, मलेशिया,3,World GK
275,विश्व का कौन-सा देश टिन का सर्वाधिक निर्यात करता है ?, कनाडा, फ्रांस, मलेशिया, थाईलैंड,2,World GK
276,विश्व विख्यात डोनवास कोयला क्षेत्र किस देश में स्थित है ?, यूक्रेन, कजाकिस्तान, रूस, इनमें से कोई नहीं,0,World GK
277,विश्व में स्वच्छ जल की मछली का सबसे बड़ा उत्पादक देश है ?, इण्डोनेशिया, बांग्लादेश, भारत, चीन,3,World GK
278,विश्व में बॉक्साइट का सर्वाधिक संचित भण्डार कहाँ पाया जाता है ?, गुयाना, आस्ट्रेलिया, ब्राजील, इनमें से कोई नहीं,1,World GK
279,विश्व का एक प्रमुख मत्स्यन क्षेत्र डाँगर बैंक कहाँ स्थित है ?, उतरी सागर में, इंगलिश चैनल में, बाल्टिक सागर में, इनमें से कोई नहीं,0,World GK
280,विश्व का वृहत्तम मत्स्य आहरण क्षेत्र है ?, ग्रैंड बैंक, चेसापीक खाड़ी, कैरेबियन सागर, इनमें से कोई नहीं,0,World GK
281,विश्व का सबसे बड़ा लौंग उत्पादक देश है ?, जंजीबार, ग्वाटेमाला, कनाडा, इण्डोनेशिया,0,World GK
282,विश्व में मोटे अनाज का सबसे बड़ा उत्पादक देश है ?, गुयाना, ब्राजील, भारत, इनमें से कोई नहीं,2,World GK
283,विश्व में प्राकृतिक रबड़ का सबसे बड़ा उत्पादक है ?, मलेशिया, इण्डोनेशिया, थाईलैंड, बांग्लादेश,2,World GK
284,विश्व में सिन्थेटिक रबड़ का सबसे बड़ा उत्पादक है ?, संयुक्त राज्य अमेरिका, मलेशिया, बांग्लादेश, ब्राजील,0,World GK
285,विश्व में तम्बाकू का सबसे बड़ा उत्पादक देश है ?, ग्वाटेमाला, चीन, इण्डोनेशिया, थाईलैंड,1,World GK
286,विश्व में इलायचीं का सबसे प्रमुख उत्पादक देश कौन है ?, मालागासी, ग्वाटेमाला, चीन, भारत,1,World GK
287,विश्व में अफीम का सर्वाधिक उत्पादन देश कौन है ?, आस्ट्रेलिया, अफगानिस्तान, पाकिस्तान, भारत,1,World GK
288,विश्व में सर्वाधिक आलू कहाँ पैदा होता है ?, संयुक्त राज्य अमेरिका, रूस, फ्रांस, पोलैंड,1,World GK
289,विश्व में अंगूर का सर्वाधिक उत्पादन करने वाला देश है ?, इटली, नीदरलैंड, स्पेन, टर्की,0,World GK
290,विश्व में जैतून विस्तृत क्षेत्र में उगाया जाता है ?, फ्रांस में, रूस में, चीन में, पोलैंड में,0,World GK
291,विश्व में केले का सबसे बड़ा उत्पादक है ?, नीदरलैंड, भारत, स्पेन, टर्की,1,World GK
292,दुग्ध उत्पादन में किस देश का विश्व में प्रथम स्थान है ?, ग्वाटेमाला, भारत, जर्मनी, चीन,1,World GK
293,विश्व में उन का सर्वाधिक उत्पादन करने वाला देश है ?, न्यूजीलैंड, यूक्रेन, आस्ट्रेलिया, अर्जेण्टीना,2,World GK
294,विश्व में कपास की कृषि के अन्तगर्त सर्वाधिक क्षेत्रफल किस देश में पाया जाता है ?, संयुक्त राज्य अमेरिका, सी. आई. एस., चीन, भारत,3,World GK
295,विश्व में कपास का वृहत्तम उत्पादक है ?, चीन, भारत, संयुक्त राज्य अमेरिका, मिस्त्र,0,World GK
296,विश्व में कपास का सबसे बड़ा निर्यातक देश निम्न में से कौन है ?, पाकिस्तान, आस्ट्रेलिया, संयुक्त राज्य अमेरिका, नीदरलैंड,2,World GK
297,विश्व की कहवा मण्डी के नाम से कौन प्रसिद्ध है ?, साओपालो, सेण्टोस, मनाओस, इनमें से कोई नहीं,0,World GK
298,विश्व का सबसे बड़ा मुंगफली उत्पादक देश है ?, भारत, चीन, पोलैंड, नीदरलैंड,1,World GK
299,विश्व में नारियल का सबसे अधिक उत्पादन करता है ?, मलेशिया, इण्डोनेशिया, फिलीपीन्स, थाईलैंड,2,World GK
300,विश्व में चाय का सबसे अधिक उत्पादन करता है ?, संयुक्त राज्य अमेरिका, रूस, ब्राजील, भारत,3,World GK
301,चाय निर्यात के क्षेत्र में विश्व का अग्रणी देश है ?, श्रीलंका, कीनिया, चीन, भारत,2,World GK
302,विश्व प्रसिद्ध उलंग किस्म की चाय किस देश में पैदा होती है ?, वियतनाम, ताइवान, कीनिया, भारत,1,World GK
303,विश्व में मक्का की पेटी किस देश में पायी जाती है ?, संयुक्त राज्य अमेरिका, कनाडा, थाईलैंड, बांग्लादेश,0,World GK
304,निम्नलिखित में कौन-सा देश विश्व में चावल का सबसे अधिक उत्पादन करता है ?, चीन, अफगानिस्तान, इण्डोनेशिया, इनमें से कोई नहीं,0,World GK
305,सर्वप्रथम कृषि प्रदेशों का विश्व वर्गीकरण किसने प्रस्तुत किया था ?, डी. हिटलसी, वॉन थ्यूनेन, कुमारी सेम्पुल, इनमें से कोई नहीं,0,World GK
306,विश्व में गेहूँ का सबसे बड़ा निर्यातक देश है ?, अर्जेण्टीना, यूक्रेन, चीन, भारत,0,World GK
307,विश्व के किस प्राकृतिक प्रदेश में सर्वाधिक वार्षिक तापान्तर पाया जाता है ?, टैगा प्रदेश, विषुवतरेखीय प्रदेश, भूमध्यसागरीय प्रदेश, टुण्ड्रा प्रदेश,0,World GK
308,संसार में सबसे अधिक भेड़ें किस प्राकृतिक प्रदेश में मिलता है ?, टैगा प्रदेश, प्रेयरी प्रदेश, यूरोपीय प्रदेश, इनमें से कोई नहीं,1,World GK
309,विश्व का सबसे गर्म प्रदेश स्थित है ?, चीन तुल्य प्रदेश, भूमध्यरेखीय प्रदेश, सहारा तुल्य प्रदेश, इनमें से कोई नहीं,2,World GK
310,विश्व का सबसे बड़ा मरुस्थल किस प्राकृतिक प्रदेश में स्थित है ?, उष्ण मरुस्थलीय प्रदेश, भूमध्यसागरीय प्रदेश, स्टेपी प्रदेश, इनमें से कोई नहीं,0,World GK
311,विश्व में सर्वाधिक कागज तैयार करने वाला देश कनाडा किस प्राकृतिक प्रदेश में स्थित है ?, भूमध्यसागरीय प्रदेश, उष्ण मरुस्थलीय प्रदेश, टैगा प्रदेश, स्टेपी प्रदेश,2,World GK
312,विश्व का प्राकृतिक प्रदेशों में बाँटने का प्रथम प्रयास किसने किया ?, टेलर, हरबर्टसन, हार्टशोर्न, इनमें से कोई नहीं,1,World GK
313,विश्व के सर्वाधिक वर्षा के क्षेत्र है ?, चीन तुल्य प्रदेश, मानसूनी प्रदेश, विषुवतीय प्रदेश, इनमें से कोई नहीं,2,World GK
314,विश्व में कुल भू-भाग के लगभग कितने भाग पर घासभूमियों का विस्तार पाया जाता है ?,1/2,1/4,1/6,1/5,3,World GK
315,सबसे अधिक टैगा वन किस क्षेत्र में पाये जाते हैं ?, साइबेरिया, चिली, आस्ट्रेलिया, अफगानिस्तान,0,World GK
316,विश्व का सबसे व्यस्ततम बन्दरगाह माना जाता है ?, लन्दन, हैम्बर्ग, रॉटरडम, एण्टवर्प,2,World GK
317,निम्नलिखित में से किसे विश्व का कहवा पत्तन कहते हैं ?, साओपालो, सैंटोस, ब्यूनस आयर्स, इनमें से कोई नहीं,1,World GK
318,सर्वाधिक संख्या में स्थलरुद्ध देश किस महाद्वीप में है ?, द. अमेरिका, यूरोप, एशिया, अफ्रीका,3,World GK
319,क्षेत्रफल की दृष्टि से विश्व का सबसे बड़ा भू-आवेष्ठित देश कौन-सा है ?, जैरे, मंगोलिया, नाइजर, जाम्बिया,1,World GK
320,विश्व की सबसे व्यस्त व्यापारिक नदी है ?, रोन, राइन, मिसीपिसी, नील,1,World GK
321,अन्तर्राष्ट्रीय महिला दिवस' किस दिन मनाया जाता है ?, 8 मार्च, 8 फरवरी, 8 जनवरी, 8 अगस्त,0,World GK
322,विश्व जनसंख्या दिवस' किस दिन मनाया जाता है ?, 11 जुलाई, 11 नवम्बर, 11 अक्टूबर, इनमें से कोई नहीं,0,World GK
323,विश्व वन्य जीव दिवस' किस दिन मनाया जाता है ?, 8 अक्टूबर, 8 नवम्बर, 4 नवम्बर, 4 अक्टूबर,3,World GK
324,विश्व एड्स दिवस' किस दिन मनाया जाता है ?, 1 अगस्त, 1 सितम्बर, 1 दिसम्बर, 1 फरवरी,2,World GK
325,विश्व मानवाधिकार दिवस' किस दिन मनाया जाता है ?, 4 सितम्बर, 6 फरवरी, 10 दिसम्बर, 15 जनवरी,2,World GK
326,विश्व वानिकी दिवस' किस दिन मनाया जाता है ?, 21 जनवरी, 21 फरवरी, 21 मार्च, इनमें से कोई नहीं,2,World GK
327,विश्व मितव्ययिता दिवस' किस दिन मनाया जाता है ?, 6 अक्टूबर, 14 अक्टूबर, 11 अक्टूबर, 30 अक्टूबर,3,World GK
328,विश्व स्वस्थ दिवस' किस दिन मनाया जाता है ?, 7 अप्रैल, 23 मई, 13 जून, 17 जुलाई,0,World GK
329,विश्व पर्यटन दिवस' किस दिन मनाया जाता है ?, 27 सितम्बर, 27 दिसम्बर, 27 फरवरी, 19 अप्रैल,0,World GK
330,विश्व मानक दिवस' किस दिन मनाया जाता है ?, 14 अगस्त, 14 सितम्बर, 14 अक्टूबर, 14 नवम्बर,2,World GK
331,विश्व उपभोक्ता अधिकार दिवस' किस दिन मनाया जाता है ?, 2 मार्च, 14 मार्च, 18 मार्च, 24 मार्च,1,World GK
332,विश्व डाक दिवस' किस दिन मनाया जाता है ?, 9 जून, 9 जुलाई, 9 अक्टूबर, 9 नवम्बर,2,World GK
333,विश्व ऊर्जा दिवस' किस दिन मनाया जाता है ?, 14 सितम्बर, 14 दिसम्बर, 15 दिसम्बर, इनमें से कोई नहीं,1,World GK
334,विश्व यूनीसेफ दिवस' किस दिन मनाया जाता है ?, 11 अक्टूबर, 11 नवम्बर, 11 दिसम्बर, इनमें से कोई नहीं,2,World GK
335,विश्व विकलांगता दिवस' किस दिन मनाया जाता है ?, 23 जनवरी, 14 फरवरी, 20 मार्च, इनमें से कोई नहीं,2,World GK
336,विश्व साक्षरता दिवस' किस दिन मनाया जाता है ?, 8 अगस्त, 8 सितम्बर, 8 दिसम्बर, इनमें से कोई नहीं,1,World GK
337,विश्व परिवेश दिवस' किस दिन मनाया जाता है ?, 5 अक्टूबर, 21 फरवरी, 21 मई, इनमें से कोई नहीं,0,World GK
338,विश्व आदिवासी दिवस' किस दिन मनाया जाता है ?, 23 दिसम्बर, 8 सितम्बर, 9 अगस्त, 1 फरवरी,2,World GK
339,विश्व पृथ्वी दिवस' किस दिन मनाया जाता है ?, 11 मई, 22 अप्रैल, 13 जून, 17 जुलाई,1,World GK
340,विश्व रेडक्रॉस दिवस' किस दिन मनाया जाता है ?, 8 मई, 1 जून, 9 जुलाई, इनमें से कोई नहीं,0,World GK
341,विश्व तम्बाकू निषेध दिवस' किस दिन मनाया जाता है ?, 20 फरवरी, 30 जून, 31 मई, 22 अप्रैल,2,World GK
342,विश्व गरीबी उन्मूलन दिवस' किस दिन मनाया जाता है ?, 17 जून, 17 जुलाई, 17 नवम्बर, 17 अक्टूबर,3,World GK
343,संसार में सर्वाधिक ऊंचाई पर स्थित सड़क है ?, मनाली -लेह, जम्मू - श्रीनगर, श्रीनगर - लेह, कारगिल - लेह,0,World GK
344,द समर पालेस (The Summer Palace) कहाँ स्थित है ?, इंग्लेंड, रुस, स्वेडिन, चीन,3,World GK
345,द ग्रांड पॅलेस (The Grand Palace) कहाँ स्थित है ?, थाइलॅंड, इंग्लॅण्ड, इटली, टर्की,0,World GK
346,द टॉपकापी पॅलेस ( Topkapi Palace) कहाँ स्थित है ?, स्वेडिन, टर्की, फिनलैण्ड, तिब्बत,1,World GK
347,दा स्टऑकहोल्म पॅलेस (The Stockholm Palace) कहाँ स्थित है ?, इंग्लेंड, रशिया, स्वीडन, जापान,2,World GK
348,द विंटर पॅलेस (The Winter Palace) कहाँ निर्मित है ?, इटली, कनाडा, रशिया, इंग्लेंड,2,World GK
349,विश्व जनसंख्या कब 1 अरब से ऊपर पँहुच गई?,1770,1600,1800,1900,2,World GK
350,फिलिप्स मशरूम म्यूज़ीयम कहाँ स्थित है ?, पेन्सिल्वॅनिया, आम्सटरडॅम, नॉर्विच, टेक्सस,0,World GK
351,द म्यूज़ीयम ऑफ डॉग कॉलर्स कहाँ स्थित है ?, जर्मनी, रुस, स्पेन, युनाइटेड किन्गडम,3,World GK
352,कॉकरोच हॉल ऑफ फेम कहॉ स्थित है ?, जापान, चीन, टेक्सस, ब्राज़ील,2,World GK
353,माउंट ताईं (Mount Tai) जो युनेसको ने विश्व-विरासत की सू्ची मे शमिल कर रखा है किस देश मे स्थित है ?, इंडोनेशिया, स्पेन, जापान, चीन,3,World GK
354,ग्रैंड कैनयन नॅशनल पार्क किस देश मे स्थित है ?, मैक्सिको, यूनान, द युनाइटेड स्टेट्स ऑफ अमेरिका, फ्रांस,2,World GK
355,कोमोडो नेशनल पार्क कहाँ है ?, चिली, वेस्ट इडीज, इंडोनेशिया, ग्रीनलॅंड,2,World GK
356,द बकिंघम पॅलेस कहाँ पर स्थित है ?, भारत, पाकिस्तान, जापान, इंग्लेंड,3,World GK
357,द रॉयल पॅलेस ऑफ मॅड्रिड कहाँ पर स्थित है ?, बुल्गरिआ, सिडनी, स्पेन, उक्रैने,2,World GK
358,"कौन सा राष्ट्र कुख्यात ""सोनी हैक(Sony Hack) "" मामले में शामिल था ?", इजराइल, दक्षिण कोरिया, उत्तर कोरिया, चीन,2,World GK
359,"किस राष्ट्र को ""लेबनान में तेल रिसाव से नुकसान के कारण"" संयुक्त राष्ट्र द्वारा दंडित किया गया है ?", ईरान, इराक, इजराइल, सीरिया,2,World GK
360,इटली की तलवार किसे कहा गया है, मेजिनी, कैवूर, गैरीबाल्डी, इनमें से कोई नहीं,2,World GK
361,विश्व रंगमंच दिवस हर साल किस तारीख को विश्व स्तर पर मनाया जाता है?, 27 अप्रैल, 27 जनवरी, 27 मार्च, 27 मई,2,World GK
362,"निम्नलिखित में कौन-सा देश ""Land of Thunderbolt"" के नाम से जाना जाता है ?", नेपाल, न्यूजीलैंड, लद्दाख, भूटान,3,World GK
363,एल मिस्टी (El Misti) ज्वालामुखी किस देश में है ?, चिली, पेरू, कोलंबिया, इटली,1,World GK
364,उत्तरी गोलार्द्ध में व्यापारिक पवनें किस दिशा में बहती हैं ?, उत्तर, दक्षिण-पूर्व, उत्तर-पूर्व, उत्तर-पश्चिम,2,World GK
365,पिरेनीज पर्वत निम्नलिखित में से किन-किन देशों के बीच स्थित है?, फ़्रांस और स्पेन, बुल्गारिया व यूनान, इटली और फ़्रांस, इंग्लैंड और आयरलैंड,0,World GK
366,क्यूराइल द्वीपों को लेकर विवाद किन-किन के मध्य हैं ?, उत्तरी कोरिया और उत्तरी वियतनाम, रूस और जापान, चीन और जापान, साइप्रस और टर्की,1,World GK
367,"निम्नलिखित में से किसको ""वेनिशिंग ओशन"" (छिपता हुआ महासागर) कहा जाता है?", आर्कटिक महासागर, अटलांटिक महासागर, प्रशांत महासागर, हिन्द महासागर,0,World GK
368,"चूना पत्थर की चट्टान कायांतरित हो जाती है, तब बनती है -", ग्रेफाइट, संगमरमर, ग्रेनाइट, क्वार्टजाइट,1,World GK
369,विश्व की सबसे बड़ी अवरोधक प्रवाल भित्ति (Great Barrier Reef) कहाँ स्थित है?, न्यूजीलैंड के पश्चिमी तट के सहारे, द. अमेरिका के पूर्वी तट के सहारे, अफ्रीका के दक्षिणी तट के सहारे, ऑस्ट्रेलिया के पूर्वी तट के सहारे,3,World GK
370,बाल्टिक सागर और उत्तरी सागर (North Sea) को मिलाती है ?, स्वेज नहर, पनामा नहर, कील नहर, उपर्युक्त में से कोई नहीं,2,World GK
371,निम्नलिखित में से कौन-सा एक बंदरगाह विश्व के कॉफ़ी बन्दरगाह (Coffee Port) के रूप में जाना जाता है?, साओपोलो, ब्यूनर्स आयर्स, सेंटॉस, रियो द जेनेरो,2,World GK
372,विश्व रेडियो दिवस कब मनाया जाता है ?, 10 फरवरी, 3 फरवरी, 23 फरवरी, 13 फरवरी,3,World GK
373,विश्व की सबसे व्यस्त व्यापारिक नदी है?, मिसीसिपी, राइन, रोन, नील,1,World GK
374,चीन का शोक किस नदी के लिए प्रयोग किया जाता है?, यांग्स-क्यांग, साल्वीन, ह्नांगहो, आमुर,2,World GK
375,महाबली गंगा किस देश की सबसे बड़ी नदी है?, थाईलैंड, इण्डोनेशिया, श्रीलंका, म्यांमार,2,World GK
376,निम्नलिखित में से किस देश में से यूफ्रेटस व टिगरिस नदियाँ बहती हैं?, ईरान, इराक, कुवैत, जॉर्डन,1,World GK
