question_no,question,0,1,2,3,answer,category
19,स्वतंत्र भारत के प्रथम गवर्नर जनरल कौन था ?,लॉर्ड कैनिंग,लार्ड माउंट बेटन,लॉर्ड डफरिन,लॉर्ड लिट्टन,1,Indian GK
20,भारत का प्रथम प्रधानमंत्री कौन बना था ?,जवाहरलाल नेहरू,लाल बहादुर शास्त्री,इन्दिरा गाँधी,मोरारजी देसाई,0,Indian GK
21,जवाहरलाल नेहरू भारत के प्रथम प्रधानमंत्री कब बने थे ?,26 जनवरी 1950,15 अगस्त 1947,15 अगस्त 1948,अन्य,1,Indian GK
22,भारत में प्रथम महिला प्रधानमंत्री कौन बनी था ?,प्रतिभा पाटील,एम. फातिमा बीवी,इंदिरा गांधी,अन्य,2,Indian GK
23,भारत का प्रथम राष्ट्रपति है ?,अब्दुल कलाम,डॉ॰ राजेन्द्र प्रसाद,डॉक्टर सर्वपल्ली राधाकृष्णन,बसप्पा दनप्पा,1,Indian GK
24,नोबेल पुरस्कार प्राप्त करने वाले प्रथम भारतीय कौन था ?,हरगोबिंद खुराना,मदर टेरेसा,अमर्त्य सेन,रवीन्द्र नाथ टैगोर,3,Indian GK
25,भारतीय राष्ट्रीय कांग्रेस के प्रथम अध्यक्ष कौन था ?,व्योमेश चन्‍द्र बनर्जी,फिरोजशाह मेहता,बाल गंगाधर तिलक,लाला लाजपत राय,0,Indian GK
26,प्रथम भारतीय अंतरिक्ष यात्री ?,राकेश शर्मा,कल्पना चावला,सुनीता विलियम्स,अन्य,0,Indian GK
27,दक्षिणी ध्रुव पर पहुँचने वाले प्रथम भारतीय महिला ?,तारा चेरियन,विमला देवी,रीना कौशल धर्मशक्तु,डॉ. अमृता पटेल,2,Indian GK
28,भारत में निर्मित प्रथम भारतीय फिल्म ( मौनी सिनेमा) ?,राजा हरिश्चन्द्र,किशन कन्हैया,पुंडलिक,भीष्म प्रतिज्ञा,0,Indian GK
29,भारत में प्रथम भारतीय फिल्म मौनी सिनेमा राजा हरिश्चन्द्र कब निर्मित हुआ था ?,1934,1918,1919,1913,3,Indian GK
30,भारत का अंग्रेजी नाम 'इण्डिया' (In3i0) की उत्पत्ति किस शब्द से हुई है ?,भरत चक्रवर्ती,हिन्दुस्तान,सिंधु शब्द से,अन्य,2,Indian GK
31,भारतखण्ड भारत का क्या है ?,दूसरा नाम,राष्ट्र,सभ्यता,अन्य,0,Indian GK
32,कृषि भारतीय अर्थव्यवस्था की क्या है ?,आर्थिक प्रगति,रीढ़,आर्थिक सुधार,अन्य,1,Indian GK
33,भारत में सबसे कम जनसंख्या वाला राज्य कौन–सा है ?,चंडीगढ़,मिज़ोरम,सिक्किम,गोआ,2,Indian GK
34,प्रथम भारतीय रंगीन फिल्म है ?,राजा हरिश्चन्द्र,किशन कन्हैया,सीता विवाह,सती सुलोचना,1,Indian GK
36,भारत के प्रथम वायसराय ?,सर जॉन शोर,लॉर्ड केनिंग,लार्ड विलियम बेन्टिक,अर्ल कॉर्नवॉलिस,1,Indian GK
37,भारत की केन्द्र सरकार की प्रथम महिला मंत्री है ?,श्रीमती शन्नो देवी,बी. एस. रमा देवी,राजकुमारी अमृत कौर,प्रिया हिमोरानी,2,Indian GK
38,भारत की प्रथम महिला मुख्यमंत्री ?,इंदिरा गांधी,अमृता प्रीतम,सरोजिनी नायडू,श्रीमती सुचेतो कृपलानी,3,Indian GK
39,भारत की प्रथम महिला राष्ट्रपति ?,श्रीमती प्रतिमा पाटिल,श्रीमती सुचेतो कृपलानी,इंदिरा गांधी,अन्य,0,Indian GK
40,भारत के लोकसभा के प्रथम अध्यक्ष ?,जी. वी. मावलंकर,डॉ॰ राजेन्द्र प्रसाद,व्योमेश चन्‍द्र बनर्जी,अन्य,0,Indian GK
41,शतरंज में प्रथम विश्व चैम्पियन भारतीय ?,व्लादिमीर क्रैमनिक,मीर सुल्तान खान ने,विश्वनाथन आनंद,दिव्येंदु बरुआ,2,Indian GK
42,भारत का प्रथम कागज रहित समाचार पत्र है ?,हरि भूमि,द न्यूज टुडे,रभात खबर,अन्य,1,Indian GK
43,दोहरा शतक बनाने वाली प्रथम भारतीय महिला क्रिकेटर है ?,मिथाली राज,अंजुम चोपड़ा,अमिता शर्मा,पूनम यादव,0,Indian GK
44,भारत का प्रथम कागज रहित समाचार पत्र द न्यूज टुडे कब शुरू हुआ था ?,23 जनवरी 2003 को,13 जनवरी 2001 को,3 जनवरी 2001 को,9 जनवरी 2002 को,2,Indian GK
45,अंतर्राष्ट्रीय न्यायालय में नियुक्त प्रथम भारतीय न्यायाधीश ?,डॉ नागेन्द्र सिंह,जी. वी. मावलंकर,जगदीश चंद्र बसु,आर. के. नारायण,0,Indian GK
46,भारतीय रिजर्व बैंक की उप गवर्नर बनी प्रथम भारतीय महिला है ?,प्रतिभा राय,के. जे. उदेशी,मधुर जाफरी,अन्य,1,Indian GK
47,प्रथम महिला लोकसभा अध्यक्ष ?,श्रीमती सुचेतो कृपलानी,राजकुमारी अमृत कौर,मीरा कुमार,विमला देवी,2,Indian GK
48,भारत का सबसे पहला गृह मंत्री कौन थे ?,विष्‍णु देव साई,श्री बेनी प्रसाद वर्मा,सरदार वल्लभ भाई पटेल,अन्य,2,Indian GK
49,भौतिक विज्ञान में नोबेल पुरस्कार पाने वाले प्रथम भारतीय?,सी वी रमन,जे जे थॉमसन,कैलाश सत्यार्थी,मदर टेरेसा,0,Indian GK
50,चिकित्सा में नोबेल पुरस्कार पाने वाले प्रथम भारतीय ?,सुब्रह्मण्यन् चन्द्रशेखर,नील्स रिबर्ग फिनसेन,डॉ हरगोविन्द खुराना,अमर्त्य सेन,2,Indian GK
51,अर्थशास्त्र में नोबेल पुरस्कार पाने वाले प्रथम भारतीय ?,रबीन्द्रनाथ ठाकुर,अमर्त्य सेन,वेंकटरामन रामकृष्णन,अन्य,1,Indian GK
52,भारत के प्रथम सिक्ख प्रधानमंत्री ?,डॉ॰ मनमोहन सिंह,विश्वनाथ प्रताप सिंह,चन्द्रशेखर सिंह,अन्य,0,Indian GK
53,नोबेल पुरस्कार प्राप्त प्रथम भारतीय महिला ?,इंदिरा गाँधी,मदर टेरेसा,किरन बेदी,सरोजिनी नायडू,1,Indian GK
54,भारत रत्न प्राप्त करने वाली पहली महिला ?,श्रीमती पी.के.गेसिया,श्रीमती इंदिरा गाँधी,श्रीमती बछेंद्री पाल,सुश्री सुष्मिता सेन,1,Indian GK
55,प्रथम महिला चिकित्सक ?,ममता बनर्जी,प्रेमा माथुर,कादम्बिनी गांगुली,अन्य,2,Indian GK
56,राष्ट्रीय ध्वज तिरंगे में तीनों क्षैतिज पट्टियां किस अनुपात में रहते है ?,0.126400463,0.08474537037,0.04237268519,अन्य,2,Indian GK
57,राष्ट्रीय ध्वज तिरंगे का गहरा केसरिया रंग क्या दर्शाता है ?,ताकत और साहस,शांति और सत्य,विकास और उर्वरता,अन्य,0,Indian GK
58,राष्ट्रीय ध्वज तिरंगे में सबसे ऊपर कौन सा रंग रहता है ?,सफेद,हरा रंग,गहरा केसरिया रंग,सफेद और हरा रंग,2,Indian GK
59,राष्ट्रीय ध्वज तिरंगे में बीच में कौन सा रंग रहता है ?,सफेद,हरा रंग,केसरिया रंग,सफेद और हरा रंग,0,Indian GK
60,राष्ट्रीय ध्वज तिरंगे में सबसे नीचे कौन सा रंग रहता है ?,सफेद,हरा रंग,गहरा केसरिया रंग,सफेद और हरा रंग,1,Indian GK
61,राष्ट्रीय ध्वज की लंबाई-चौड़ाई का अनुपात कितना है ?,2:2,2:3,3:2,1:2,2,Indian GK
62,राष्ट्रीय ध्वज तिरंगे का सफेद पट्टी किस बात का संकेत है ?,विकास और सत्य का,साहस और विकास,शांति और सत्य का,अन्य,2,Indian GK
63,राष्ट्रीय ध्वज तिरंगे का हरा रंग क्या दर्शाता है ?,विकास और सत्य का,विकास और उर्वरता को,शांति और सत्य का,अन्य,1,Indian GK
64,राष्ट्रीय ध्वज तिरंगे के चक्र में कितनी तीलियां है ?,22,12,24,25,2,Indian GK
65,भारत की संविधान सभा ने राष्ट्रीय ध्वज का प्रारूप कब अपनाया था ?,22 जुलाई 1947 को,28 जुलाई 1947 को,17 जुलाई 1947 को,22 जुलाई 1948 को,0,Indian GK
66,भारत का राष्‍ट्रीय पक्षी है ?,तोता,मोर,हंस,बुलबुल,1,Indian GK
67,भारत का राष्‍ट्रीय पुष्‍प है ?,कमल,गुलाब,चमेली,गेंदा,0,Indian GK
68,भारत का राष्‍ट्रीय पेड़ है ?,नीम,चन्दन,बरगद,अशोक,2,Indian GK
69,भारत का राष्‍ट्र–गान है ?,वंदे मातरम्,जन गण मन,सारे जहाँ से अच्छा,और,1,Indian GK
70,भारत का राष्‍ट्रीय नदी है ?,कोशी,यमुना,ब्रह्मपुत्र,गंगा,3,Indian GK
71,भारत का राष्‍ट्रीय जलीय जीव है ?,मछली,कछुआ,डॉलफिन,मगरमच्छ,2,Indian GK
72,भारत का राष्‍ट्रीय पशु है ?,घोड़ा‎,बाघ,हाथी‎,गाय‎,1,Indian GK
73,भारत का राष्‍ट्रीय गीत है ?,वंदे मातरम्,जन गण मन,हम होंगे कामयाब,और,0,Indian GK
74,भारत का राष्‍ट्रीय फल है ?,सेब,आम,अनानास,नारियल,1,Indian GK
75,भारत का राष्‍ट्रीय खेल है ?,शतरंज,कबड्डी,फुटबॉल,हॉकी,3,Indian GK
76,भारत में सबसे अधिक कहाँ सौर ऊर्जा उत्पादन होता है ?,राजस्‍थान,गुजरात,केरल,तमिल नाडु,0,Indian GK
77,भारत में पवन ऊर्जा का सबसे उत्पादक राज्य कौन सा है ?,पंजाब,तमिल नाडु,मध्य प्रदेश,झारखण्ड,1,Indian GK
78,भारत में स्थापित कुल ऊर्जा क्षमता का कितना % पवन ऊर्जा से प्राप्त होता है ?,10 %,4.5 %,6 %,6.9 %,2,Indian GK
79,भारत में पवन ऊर्जा का विकास कब से प्रांरभ हुआ था ?,1998,1990,2000,1995,1,Indian GK
80,भारत में परमाणु ऊर्जा विनियामक बोर्ड कब स्थापित हुआ था ?,15 नवम्बर 1983 को,18 नवम्बर 1985 को,25 नवम्बर 1988 को,अन्य,0,Indian GK
81,परमाणु ऊर्जा नियामक बोर्ड का मुख्यालय कहाँ है ?,बेंगलुरु,भुबनेश्वर,मुंबई,भोपाल,2,Indian GK
82,भारतीय सिनेमा के जनक थे ?,देविका रानी,दादासाहब फालके,लूमियर ब्रदर्स,अन्य,1,Indian GK
83,भारत में डॉक व्यवस्था शुरू करने वाला ब्रिटिश गवर्नर जनरल था ?,लॉर्ड डलहौजी,लॉर्ड क्रिप्स,लॉर्ड कर्जन,लॉर्ड माउण्टबेटन,0,Indian GK
84,भारत में शिक्षा है एक ?,नागरिक अधिकार,राज्य दायित्व,राजनीतिक अधिकार,मूलभूत अधिकार,3,Indian GK
85,"भारत के तीसरे राष्ट्रपति कौन थे, जिनका अपने कार्यकाल में ही निधन हुआ था ?",संजीव रेड्डी,डॉ. जाकिर हुसैन,डॉ. वी. वी. गिरी,इनमें से कोई नहीं,1,Indian GK
86,"भारत का राष्ट्रीय ध्वज नियम, कब से लागू कर दिया गया ?",2000,2001,2002,2003,2,Indian GK
87,कौन सा नदी दक्षिण भारत की गंगा कहलाती है ?,कावेरी,तुंगभद्र,गोदावरी,कृष्णा,2,Indian GK
88,प्रतिवर्ष भारत का वृहत्तम पशु मेल लगता है ?,शोलापुर में,सोनीपत में,सोनमार्ग में,सोनपुर में,3,Indian GK
89,भारत का बोस्टन किसे कहा जाता है ?,अहमदाबाद,वड़ोदरा,मुम्बई,सूरत,0,Indian GK
90,ग्लोब पर कर्क रेखा भारत के कितने राज्यों से होकर गुजरती है ?,पाँच,आठ,चार,छः,1,Indian GK
